frame_number,timestamp,R,G,B,matched_log_timestamp
468,2025-02-03-16-24-56-442,0,240,0,2025-02-03-16-24-56-442
469,2025-02-03-16-24-56-458,0,249,0,2025-02-03-16-24-56-459
470,2025-02-03-16-24-56-475,0,252,0,2025-02-03-16-24-56-476
471,2025-02-03-16-24-56-492,0,243,0,2025-02-03-16-24-56-494
472,2025-02-03-16-24-56-509,0,235,0,2025-02-03-16-24-56-511
473,2025-02-03-16-24-56-525,0,226,0,2025-02-03-16-24-56-528
474,2025-02-03-16-24-56-542,0,217,0,2025-02-03-16-24-56-546
475,2025-02-03-16-24-56-559,0,208,0,2025-02-03-16-24-56-562
476,2025-02-03-16-24-56-575,0,199,0,2025-02-03-16-24-56-581
477,2025-02-03-16-24-56-592,0,190,0,2025-02-03-16-24-56-598
478,2025-02-03-16-24-56-609,0,181,0,2025-02-03-16-24-56-616
479,2025-02-03-16-24-56-626,0,172,0,2025-02-03-16-24-56-633
480,2025-02-03-16-24-56-642,0,172,0,2025-02-03-16-24-56-633
481,2025-02-03-16-24-56-659,0,163,0,2025-02-03-16-24-56-651
482,2025-02-03-16-24-56-676,0,154,0,2025-02-03-16-24-56-668
483,2025-02-03-16-24-56-692,0,145,0,2025-02-03-16-24-56-685
484,2025-02-03-16-24-56-709,0,137,0,2025-02-03-16-24-56-702
485,2025-02-03-16-24-56-726,0,128,0,2025-02-03-16-24-56-720
486,2025-02-03-16-24-56-742,0,119,0,2025-02-03-16-24-56-737
487,2025-02-03-16-24-56-759,0,110,0,2025-02-03-16-24-56-754
488,2025-02-03-16-24-56-776,0,101,0,2025-02-03-16-24-56-772
489,2025-02-03-16-24-56-793,0,92,0,2025-02-03-16-24-56-789
490,2025-02-03-16-24-56-809,0,83,0,2025-02-03-16-24-56-806
491,2025-02-03-16-24-56-826,0,74,0,2025-02-03-16-24-56-824
492,2025-02-03-16-24-56-843,0,66,0,2025-02-03-16-24-56-842
493,2025-02-03-16-24-56-859,0,57,0,2025-02-03-16-24-56-859
494,2025-02-03-16-24-56-876,0,48,0,2025-02-03-16-24-56-876
495,2025-02-03-16-24-56-893,0,39,0,2025-02-03-16-24-56-893
496,2025-02-03-16-24-56-910,0,30,0,2025-02-03-16-24-56-912
497,2025-02-03-16-24-56-926,0,21,0,2025-02-03-16-24-56-929
498,2025-02-03-16-24-56-943,0,12,0,2025-02-03-16-24-56-947
499,2025-02-03-16-24-56-960,0,3,0,2025-02-03-16-24-56-964
500,2025-02-03-16-24-56-976,0,0,0,2025-02-03-16-24-56-984
501,2025-02-03-16-24-56-993,0,0,0,2025-02-03-16-24-56-984
502,2025-02-03-16-24-57-010,0,0,0,2025-02-03-16-24-57-004
503,2025-02-03-16-24-57-026,0,0,0,2025-02-03-16-24-57-019
504,2025-02-03-16-24-57-043,0,0,0,2025-02-03-16-24-57-038
505,2025-02-03-16-24-57-060,0,0,0,2025-02-03-16-24-57-057
506,2025-02-03-16-24-57-077,0,0,0,2025-02-03-16-24-57-072
507,2025-02-03-16-24-57-093,0,0,0,2025-02-03-16-24-57-090
508,2025-02-03-16-24-57-110,0,0,0,2025-02-03-16-24-57-107
509,2025-02-03-16-24-57-127,0,0,0,2025-02-03-16-24-57-124
510,2025-02-03-16-24-57-143,0,0,0,2025-02-03-16-24-57-141
511,2025-02-03-16-24-57-160,0,0,0,2025-02-03-16-24-57-159
512,2025-02-03-16-24-57-177,0,0,0,2025-02-03-16-24-57-177
513,2025-02-03-16-24-57-194,0,0,0,2025-02-03-16-24-57-192
514,2025-02-03-16-24-57-210,0,0,9,2025-02-03-16-24-57-212
515,2025-02-03-16-24-57-227,0,0,18,2025-02-03-16-24-57-229
516,2025-02-03-16-24-57-244,0,0,27,2025-02-03-16-24-57-247
517,2025-02-03-16-24-57-260,0,0,36,2025-02-03-16-24-57-263
518,2025-02-03-16-24-57-277,0,0,45,2025-02-03-16-24-57-281
519,2025-02-03-16-24-57-294,0,0,54,2025-02-03-16-24-57-300
520,2025-02-03-16-24-57-310,0,0,54,2025-02-03-16-24-57-300
521,2025-02-03-16-24-57-327,0,0,77,2025-02-03-16-24-57-346
522,2025-02-03-16-24-57-344,0,0,77,2025-02-03-16-24-57-346
523,2025-02-03-16-24-57-361,0,0,77,2025-02-03-16-24-57-346
524,2025-02-03-16-24-57-377,0,0,86,2025-02-03-16-24-57-384
525,2025-02-03-16-24-57-394,0,0,99,2025-02-03-16-24-57-387
526,2025-02-03-16-24-57-411,0,0,108,2025-02-03-16-24-57-405
527,2025-02-03-16-24-57-427,0,0,117,2025-02-03-16-24-57-422
528,2025-02-03-16-24-57-444,0,0,126,2025-02-03-16-24-57-440
529,2025-02-03-16-24-57-461,0,0,135,2025-02-03-16-24-57-457
530,2025-02-03-16-24-57-478,0,0,144,2025-02-03-16-24-57-474
531,2025-02-03-16-24-57-494,0,0,153,2025-02-03-16-24-57-491
532,2025-02-03-16-24-57-511,0,0,161,2025-02-03-16-24-57-508
533,2025-02-03-16-24-57-528,0,0,170,2025-02-03-16-24-57-526
534,2025-02-03-16-24-57-544,0,0,179,2025-02-03-16-24-57-543
535,2025-02-03-16-24-57-561,0,0,188,2025-02-03-16-24-57-561
536,2025-02-03-16-24-57-578,0,0,197,2025-02-03-16-24-57-578
537,2025-02-03-16-24-57-594,0,0,206,2025-02-03-16-24-57-596
538,2025-02-03-16-24-57-611,0,0,215,2025-02-03-16-24-57-613
539,2025-02-03-16-24-57-628,0,0,224,2025-02-03-16-24-57-632
540,2025-02-03-16-24-57-645,0,0,233,2025-02-03-16-24-57-649
541,2025-02-03-16-24-57-661,0,0,242,2025-02-03-16-24-57-666
542,2025-02-03-16-24-57-678,0,0,250,2025-02-03-16-24-57-683
543,2025-02-03-16-24-57-695,0,0,251,2025-02-03-16-24-57-700
544,2025-02-03-16-24-57-711,0,0,242,2025-02-03-16-24-57-719
545,2025-02-03-16-24-57-728,0,0,242,2025-02-03-16-24-57-719
546,2025-02-03-16-24-57-745,0,0,233,2025-02-03-16-24-57-737
547,2025-02-03-16-24-57-762,0,0,224,2025-02-03-16-24-57-754
548,2025-02-03-16-24-57-778,0,0,215,2025-02-03-16-24-57-772
549,2025-02-03-16-24-57-795,0,0,206,2025-02-03-16-24-57-789
550,2025-02-03-16-24-57-812,0,0,197,2025-02-03-16-24-57-806
551,2025-02-03-16-24-57-828,0,0,188,2025-02-03-16-24-57-823
552,2025-02-03-16-24-57-845,0,0,179,2025-02-03-16-24-57-842
553,2025-02-03-16-24-57-862,0,0,170,2025-02-03-16-24-57-858
554,2025-02-03-16-24-57-878,0,0,161,2025-02-03-16-24-57-877
555,2025-02-03-16-24-57-895,0,0,153,2025-02-03-16-24-57-895
556,2025-02-03-16-24-57-912,0,0,144,2025-02-03-16-24-57-911
557,2025-02-03-16-24-57-929,0,0,135,2025-02-03-16-24-57-931
558,2025-02-03-16-24-57-945,0,0,126,2025-02-03-16-24-57-947
559,2025-02-03-16-24-57-962,0,0,117,2025-02-03-16-24-57-963
560,2025-02-03-16-24-57-979,0,0,108,2025-02-03-16-24-57-980
561,2025-02-03-16-24-57-995,0,0,99,2025-02-03-16-24-57-997
562,2025-02-03-16-24-58-012,0,0,91,2025-02-03-16-24-58-015
563,2025-02-03-16-24-58-029,0,0,82,2025-02-03-16-24-58-032
564,2025-02-03-16-24-58-046,0,0,73,2025-02-03-16-24-58-052
565,2025-02-03-16-24-58-062,0,0,64,2025-02-03-16-24-58-069
566,2025-02-03-16-24-58-079,0,0,55,2025-02-03-16-24-58-086
567,2025-02-03-16-24-58-096,0,0,46,2025-02-03-16-24-58-102
568,2025-02-03-16-24-58-112,0,0,37,2025-02-03-16-24-58-121
569,2025-02-03-16-24-58-129,0,0,37,2025-02-03-16-24-58-121
570,2025-02-03-16-24-58-146,0,0,28,2025-02-03-16-24-58-139
571,2025-02-03-16-24-58-162,0,0,19,2025-02-03-16-24-58-157
572,2025-02-03-16-24-58-179,0,0,10,2025-02-03-16-24-58-172
573,2025-02-03-16-24-58-196,0,0,1,2025-02-03-16-24-58-191
574,2025-02-03-16-24-58-213,0,0,8,2025-02-03-16-24-58-208
575,2025-02-03-16-24-58-229,0,0,17,2025-02-03-16-24-58-226
576,2025-02-03-16-24-58-246,0,0,25,2025-02-03-16-24-58-243
577,2025-02-03-16-24-58-263,0,0,34,2025-02-03-16-24-58-260
578,2025-02-03-16-24-58-279,0,0,43,2025-02-03-16-24-58-278
579,2025-02-03-16-24-58-296,0,0,52,2025-02-03-16-24-58-295
580,2025-02-03-16-24-58-313,0,0,61,2025-02-03-16-24-58-313
581,2025-02-03-16-24-58-330,0,0,70,2025-02-03-16-24-58-330
582,2025-02-03-16-24-58-346,0,0,79,2025-02-03-16-24-58-347
583,2025-02-03-16-24-58-363,0,0,88,2025-02-03-16-24-58-364
584,2025-02-03-16-24-58-380,0,0,97,2025-02-03-16-24-58-382
585,2025-02-03-16-24-58-396,0,0,106,2025-02-03-16-24-58-400
586,2025-02-03-16-24-58-413,0,0,115,2025-02-03-16-24-58-417
587,2025-02-03-16-24-58-430,0,0,124,2025-02-03-16-24-58-434
588,2025-02-03-16-24-58-446,0,0,133,2025-02-03-16-24-58-453
589,2025-02-03-16-24-58-463,0,0,142,2025-02-03-16-24-58-471
590,2025-02-03-16-24-58-480,0,0,142,2025-02-03-16-24-58-471
591,2025-02-03-16-24-58-497,0,0,151,2025-02-03-16-24-58-489
592,2025-02-03-16-24-58-513,0,0,160,2025-02-03-16-24-58-506
593,2025-02-03-16-24-58-530,0,0,169,2025-02-03-16-24-58-523
594,2025-02-03-16-24-58-547,0,0,178,2025-02-03-16-24-58-540
595,2025-02-03-16-24-58-563,0,0,187,2025-02-03-16-24-58-560
596,2025-02-03-16-24-58-580,0,0,196,2025-02-03-16-24-58-576
597,2025-02-03-16-24-58-597,0,0,205,2025-02-03-16-24-58-595
598,2025-02-03-16-24-58-614,0,0,214,2025-02-03-16-24-58-612
599,2025-02-03-16-24-58-630,0,0,222,2025-02-03-16-24-58-629
600,2025-02-03-16-24-58-647,0,0,231,2025-02-03-16-24-58-646
601,2025-02-03-16-24-58-664,0,0,240,2025-02-03-16-24-58-663
602,2025-02-03-16-24-58-680,0,0,250,2025-02-03-16-24-58-682
603,2025-02-03-16-24-58-697,0,0,251,2025-02-03-16-24-58-699
604,2025-02-03-16-24-58-714,0,0,242,2025-02-03-16-24-58-717
605,2025-02-03-16-24-58-730,0,0,233,2025-02-03-16-24-58-735
606,2025-02-03-16-24-58-747,0,0,225,2025-02-03-16-24-58-751
607,2025-02-03-16-24-58-764,0,0,216,2025-02-03-16-24-58-769
608,2025-02-03-16-24-58-781,0,0,207,2025-02-03-16-24-58-786
609,2025-02-03-16-24-58-797,0,0,198,2025-02-03-16-24-58-803
610,2025-02-03-16-24-58-814,0,0,190,2025-02-03-16-24-58-821
611,2025-02-03-16-24-58-831,0,0,181,2025-02-03-16-24-58-838
612,2025-02-03-16-24-58-847,0,0,172,2025-02-03-16-24-58-855
