timestamp,R,G,B,segment
2025-02-05-17-07-06-383,0,0,71,Triangle in blue
2025-02-05-17-07-06-400,0,0,63,Triangle in blue
2025-02-05-17-07-06-418,0,0,54,Triangle in blue
2025-02-05-17-07-06-435,0,0,45,Triangle in blue
2025-02-05-17-07-06-453,0,0,36,Triangle in blue
2025-02-05-17-07-06-470,0,0,27,Triangle in blue
2025-02-05-17-07-06-487,0,0,19,Triangle in blue
2025-02-05-17-07-06-505,0,0,10,Triangle in blue
2025-02-05-17-07-06-522,0,0,1,Triangle in blue
2025-02-05-17-07-06-541,0,0,0,Pause
2025-02-05-17-07-06-558,0,0,0,Pause
2025-02-05-17-07-06-576,0,0,0,Pause
2025-02-05-17-07-06-593,0,0,0,Pause
2025-02-05-17-07-06-610,0,0,0,Pause
2025-02-05-17-07-06-626,0,0,0,Pause
2025-02-05-17-07-06-644,0,0,0,Pause
2025-02-05-17-07-06-661,0,0,0,Pause
2025-02-05-17-07-06-679,0,0,0,Pause
2025-02-05-17-07-06-696,0,0,0,Pause
2025-02-05-17-07-06-714,0,0,0,Pause
2025-02-05-17-07-06-732,0,0,0,Pause
2025-02-05-17-07-06-749,0,0,0,Triangle in red & green
2025-02-05-17-07-06-767,9,9,0,Triangle in red & green
2025-02-05-17-07-06-785,18,18,0,Triangle in red & green
2025-02-05-17-07-06-803,27,27,0,Triangle in red & green
2025-02-05-17-07-06-820,36,36,0,Triangle in red & green
2025-02-05-17-07-06-838,45,45,0,Triangle in red & green
2025-02-05-17-07-06-855,54,54,0,Triangle in red & green
2025-02-05-17-07-06-873,63,63,0,Triangle in red & green
2025-02-05-17-07-06-890,72,72,0,Triangle in red & green
2025-02-05-17-07-06-907,81,81,0,Triangle in red & green
2025-02-05-17-07-06-925,90,90,0,Triangle in red & green
2025-02-05-17-07-06-943,99,99,0,Triangle in red & green
2025-02-05-17-07-06-960,108,108,0,Triangle in red & green
2025-02-05-17-07-06-978,117,117,0,Triangle in red & green
2025-02-05-17-07-06-996,126,126,0,Triangle in red & green
2025-02-05-17-07-07-014,135,135,0,Triangle in red & green
2025-02-05-17-07-07-032,144,144,0,Triangle in red & green
2025-02-05-17-07-07-049,153,153,0,Triangle in red & green
2025-02-05-17-07-07-067,162,162,0,Triangle in red & green
2025-02-05-17-07-07-084,171,171,0,Triangle in red & green
2025-02-05-17-07-07-102,180,180,0,Triangle in red & green
2025-02-05-17-07-07-119,189,189,0,Triangle in red & green
2025-02-05-17-07-07-136,197,197,0,Triangle in red & green
2025-02-05-17-07-07-154,206,206,0,Triangle in red & green
2025-02-05-17-07-07-172,215,215,0,Triangle in red & green
2025-02-05-17-07-07-189,224,224,0,Triangle in red & green
2025-02-05-17-07-07-207,233,233,0,Triangle in red & green
2025-02-05-17-07-07-225,243,243,0,Triangle in red & green
2025-02-05-17-07-07-242,251,251,0,Triangle in red & green
2025-02-05-17-07-07-260,249,249,0,Triangle in red & green
2025-02-05-17-07-07-279,240,240,0,Triangle in red & green
2025-02-05-17-07-07-295,232,232,0,Triangle in red & green
2025-02-05-17-07-07-313,223,223,0,Triangle in red & green
2025-02-05-17-07-07-330,214,214,0,Triangle in red & green
2025-02-05-17-07-07-349,204,204,0,Triangle in red & green
2025-02-05-17-07-07-366,195,195,0,Triangle in red & green
2025-02-05-17-07-07-383,186,186,0,Triangle in red & green
2025-02-05-17-07-07-401,177,177,0,Triangle in red & green
2025-02-05-17-07-07-419,169,169,0,Triangle in red & green
2025-02-05-17-07-07-436,160,160,0,Triangle in red & green
2025-02-05-17-07-07-454,151,151,0,Triangle in red & green
2025-02-05-17-07-07-471,142,142,0,Triangle in red & green
2025-02-05-17-07-07-488,133,133,0,Triangle in red & green
2025-02-05-17-07-07-506,124,124,0,Triangle in red & green
2025-02-05-17-07-07-523,116,116,0,Triangle in red & green
2025-02-05-17-07-07-540,107,107,0,Triangle in red & green
2025-02-05-17-07-07-557,98,98,0,Triangle in red & green
2025-02-05-17-07-07-575,89,89,0,Triangle in red & green
2025-02-05-17-07-07-593,80,80,0,Triangle in red & green
2025-02-05-17-07-07-611,71,71,0,Triangle in red & green
2025-02-05-17-07-07-628,62,62,0,Triangle in red & green
2025-02-05-17-07-07-646,53,53,0,Triangle in red & green
2025-02-05-17-07-07-663,44,44,0,Triangle in red & green
2025-02-05-17-07-07-680,35,35,0,Triangle in red & green
2025-02-05-17-07-07-698,26,26,0,Triangle in red & green
2025-02-05-17-07-07-714,18,18,0,Triangle in red & green
2025-02-05-17-07-07-732,9,9,0,Triangle in red & green
2025-02-05-17-07-07-750,0,0,0,Triangle in red & green
2025-02-05-17-07-07-766,9,9,0,Triangle in red & green
2025-02-05-17-07-07-783,17,17,0,Triangle in red & green
2025-02-05-17-07-07-800,26,26,0,Triangle in red & green
2025-02-05-17-07-07-817,35,35,0,Triangle in red & green
2025-02-05-17-07-07-834,43,43,0,Triangle in red & green
2025-02-05-17-07-07-852,52,52,0,Triangle in red & green
2025-02-05-17-07-07-868,61,61,0,Triangle in red & green
2025-02-05-17-07-07-886,70,70,0,Triangle in red & green
2025-02-05-17-07-07-904,79,79,0,Triangle in red & green
2025-02-05-17-07-07-922,88,88,0,Triangle in red & green
2025-02-05-17-07-07-940,97,97,0,Triangle in red & green
2025-02-05-17-07-07-957,106,106,0,Triangle in red & green
2025-02-05-17-07-07-974,115,115,0,Triangle in red & green
2025-02-05-17-07-07-991,124,124,0,Triangle in red & green
2025-02-05-17-07-08-009,133,133,0,Triangle in red & green
2025-02-05-17-07-08-026,141,141,0,Triangle in red & green
2025-02-05-17-07-08-043,150,150,0,Triangle in red & green
2025-02-05-17-07-08-061,159,159,0,Triangle in red & green
2025-02-05-17-07-08-078,168,168,0,Triangle in red & green
2025-02-05-17-07-08-095,176,176,0,Triangle in red & green
2025-02-05-17-07-08-113,185,185,0,Triangle in red & green
2025-02-05-17-07-08-130,194,194,0,Triangle in red & green
2025-02-05-17-07-08-147,203,203,0,Triangle in red & green
2025-02-05-17-07-08-164,212,212,0,Triangle in red & green
2025-02-05-17-07-08-182,221,221,0,Triangle in red & green
2025-02-05-17-07-08-199,229,229,0,Triangle in red & green
2025-02-05-17-07-08-216,238,238,0,Triangle in red & green
2025-02-05-17-07-08-234,247,247,0,Triangle in red & green
2025-02-05-17-07-08-252,254,254,0,Triangle in red & green
2025-02-05-17-07-08-269,245,245,0,Triangle in red & green
2025-02-05-17-07-08-288,235,235,0,Triangle in red & green
2025-02-05-17-07-08-306,226,226,0,Triangle in red & green
2025-02-05-17-07-08-323,217,217,0,Triangle in red & green
2025-02-05-17-07-08-341,208,208,0,Triangle in red & green
2025-02-05-17-07-08-358,199,199,0,Triangle in red & green
2025-02-05-17-07-08-375,191,191,0,Triangle in red & green
2025-02-05-17-07-08-393,182,182,0,Triangle in red & green
2025-02-05-17-07-08-410,173,173,0,Triangle in red & green
