Frame Index,Value,Change Type
1100,9.0,
1101,9.0,
1102,9.0,
1103,9.0,
1104,9.0,
1105,190.0,up
1106,190.0,
1107,190.0,
1108,188.0,
1109,190.0,
1110,99.0,down
1111,9.0,
1112,9.0,
1113,7.0,
1114,7.0,
1115,7.0,
1116,9.0,
1117,185.0,up
1118,188.0,
1119,188.0,
1120,188.0,
1121,188.0,
1122,125.0,down
1123,7.0,
1124,9.0,
1125,9.0,
1126,9.0,
1127,9.0,
1128,9.0,
1129,175.0,up
1130,188.0,
1131,187.0,
1132,187.0,
1133,187.0,
1134,133.0,down
1135,9.0,
1136,9.0,
1137,9.0,
1138,7.0,
1139,7.0,
1140,7.0,
1141,7.0,
1142,7.0,
1143,7.0,
1144,7.0,
1145,7.0,
1146,7.0,
1147,7.0,
1148,7.0,
1149,7.0,
1150,7.0,
1151,7.0,
1152,7.0,
1153,7.0,
1154,7.0,
1155,7.0,
1156,7.0,
1157,7.0,
1158,7.0,
1159,7.0,
1160,7.0,
1161,7.0,
1162,7.0,
1163,7.0,
1164,7.0,
1165,7.0,
1166,7.0,
1167,7.0,
1168,7.0,
1169,7.0,
1170,7.0,
1171,7.0,
1172,7.0,
1173,7.0,
1174,7.0,
1175,7.0,
1176,7.0,
1177,7.0,
1178,7.0,
1179,7.0,
1180,7.0,
1181,7.0,
1182,7.0,
1183,7.0,
1184,7.0,
1185,7.0,
1186,7.0,
1187,7.0,
1188,7.0,
1189,7.0,
1190,7.0,
1191,5.0,
1192,5.0,
1193,7.0,
1194,7.0,
1195,7.0,
1196,7.0,
1197,7.0,
1198,7.0,
1199,7.0,
1200,5.0,
1201,7.0,
1202,7.0,
1203,7.0,
1204,9.0,
1205,9.0,
1206,140.0,up
1207,181.0,
1208,181.0,
1209,99.0,down
1210,9.0,
1211,9.0,
1212,190.0,up
1213,183.0,
1214,181.0,
1215,181.0,
1216,181.0,
1217,60.0,down
1218,9.0,
1219,116.0,up
1220,183.0,
1221,183.0,
1222,110.0,down
1223,9.0,
1224,10.0,
1225,192.0,up
1226,185.0,
1227,135.0,
1228,7.0,down
1229,7.0,
1230,7.0,
1231,7.0,
1232,7.0,
1233,9.0,
1234,9.0,
1235,154.0,up
1236,187.0,
1237,188.0,
1238,65.0,down
1239,9.0,
1240,115.0,up
1241,188.0,
1242,188.0,
1243,125.0,down
1244,9.0,
1245,9.0,
1246,187.0,up
1247,188.0,
1248,157.0,
1249,9.0,down
1250,9.0,
1251,9.0,
1252,9.0,
1253,67.0,up
1254,195.0,
1255,192.0,
1256,145.0,
1257,7.0,down
1258,7.0,
1259,9.0,
1260,9.0,
1261,58.0,
1262,195.0,up
1263,192.0,
1264,135.0,down
1265,9.0,
1266,9.0,
1267,192.0,up
1268,193.0,
1269,193.0,
1270,192.0,
1271,192.0,
1272,113.0,down
1273,9.0,
1274,53.0,
1275,197.0,up
1276,193.0,
1277,144.0,
1278,9.0,down
1279,9.0,
1280,185.0,up
1281,193.0,
1282,169.0,
1283,7.0,down
1284,9.0,
1285,7.0,
1286,7.0,
1287,7.0,
1288,9.0,
1289,9.0,
1290,101.0,up
1291,193.0,
1292,193.0,
1293,142.0,
1294,9.0,down
1295,9.0,
1296,185.0,up
1297,192.0,
1298,159.0,
1299,9.0,down
1300,9.0,
1301,164.0,up
1302,192.0,
1303,193.0,
1304,31.0,down
1305,9.0,
1306,9.0,
1307,9.0,
1308,9.0,
1309,185.0,up
1310,192.0,
1311,164.0,
1312,7.0,down
1313,7.0,
1314,9.0,
1315,9.0,
1316,41.0,
1317,195.0,up
1318,193.0,
1319,142.0,
1320,9.0,down
1321,9.0,
1322,187.0,up
1323,192.0,
1324,192.0,
1325,192.0,
1326,192.0,
1327,103.0,down
1328,9.0,
1329,92.0,up
1330,193.0,
1331,192.0,
1332,132.0,down
1333,9.0,
1334,9.0,
1335,181.0,up
1336,192.0,
1337,171.0,
1338,9.0,down
1339,10.0,
1340,9.0,
1341,7.0,
1342,7.0,
1343,10.0,
1344,10.0,
1345,139.0,up
1346,192.0,
1347,192.0,
1348,104.0,down
1349,9.0,
1350,36.0,
1351,193.0,up
1352,190.0,
1353,142.0,
1354,9.0,down
1355,9.0,
1356,180.0,up
1357,188.0,
1358,178.0,
1359,3.0,down
1360,7.0,
1361,7.0,
1362,9.0,
1363,9.0,
1364,183.0,up
1365,188.0,
1366,173.0,
1367,3.0,down
1368,7.0,
1369,9.0,
1370,9.0,
1371,9.0,
1372,181.0,up
1373,190.0,
1374,169.0,
1375,7.0,down
1376,9.0,
1377,168.0,up
1378,192.0,
1379,192.0,
1380,192.0,
1381,188.0,
1382,156.0,
1383,7.0,down
1384,7.0,
1385,171.0,up
1386,192.0,
1387,192.0,
1388,10.0,down
1389,9.0,
1390,151.0,up
1391,192.0,
1392,192.0,
1393,60.0,down
1394,9.0,
1395,9.0,
1396,7.0,
1397,7.0,
1398,9.0,
1399,9.0,
1400,9.0,
1401,187.0,up
1402,190.0,
1403,164.0,
1404,9.0,down
1405,10.0,
1406,168.0,up
1407,188.0,
1408,187.0,
1409,9.0,down
1410,7.0,
1411,145.0,up
1412,190.0,
1413,190.0,
1414,84.0,down
1415,7.0,
1416,9.0,
1417,9.0,
1418,9.0,
1419,159.0,up
1420,190.0,
1421,190.0,
1422,48.0,down
1423,7.0,
1424,7.0,
1425,9.0,
1426,9.0,
1427,180.0,up
1428,192.0,
1429,157.0,
1430,10.0,down
1431,9.0,
1432,168.0,up
1433,192.0,
1434,192.0,
1435,192.0,
1436,192.0,
1437,161.0,
1438,9.0,down
1439,9.0,
1440,166.0,up
1441,190.0,
1442,187.0,
1443,9.0,down
1444,9.0,
1445,144.0,up
1446,193.0,
1447,193.0,
1448,108.0,down
1449,10.0,
1450,9.0,
1451,7.0,
1452,7.0,
1453,7.0,
1454,10.0,
1455,10.0,
1456,185.0,up
1457,192.0,
1458,161.0,
1459,9.0,down
1460,9.0,
1461,169.0,up
1462,193.0,
1463,190.0,
1464,9.0,down
1465,9.0,
1466,151.0,up
1467,193.0,
1468,193.0,
1469,67.0,down
1470,9.0,
1471,9.0,
1472,9.0,
1473,9.0,
1474,161.0,up
1475,193.0,
1476,193.0,
1477,79.0,down
1478,7.0,
1479,7.0,
1480,9.0,
1481,9.0,
1482,163.0,up
1483,192.0,
1484,192.0,
1485,39.0,down
1486,9.0,
1487,130.0,up
1488,190.0,
1489,192.0,
1490,190.0,
1491,190.0,
1492,176.0,
1493,5.0,down
1494,9.0,
1495,159.0,up
1496,192.0,
1497,192.0,
1498,36.0,down
1499,9.0,
1500,135.0,up
1501,192.0,
1502,192.0,
1503,123.0,down
1504,9.0,
1505,9.0,
1506,7.0,
1507,7.0,
1508,7.0,
1509,9.0,
1510,9.0,
1511,173.0,up
1512,192.0,
1513,192.0,
1514,51.0,down
1515,9.0,
1516,113.0,up
1517,192.0,
1518,190.0,
1519,118.0,down
1520,9.0,
1521,9.0,
1522,195.0,up
1523,190.0,
1524,140.0,
1525,9.0,down
1526,9.0,
1527,9.0,
1528,9.0,
1529,91.0,up
1530,193.0,
1531,192.0,
1532,133.0,down
1533,7.0,
1534,7.0,
1535,9.0,
1536,9.0,
1537,133.0,up
1538,192.0,
1539,190.0,
1540,111.0,down
1541,10.0,
1542,9.0,
1543,193.0,up
1544,190.0,
1545,151.0,
1546,9.0,down
1547,9.0,
1548,9.0,
1549,9.0,
1550,127.0,up
1551,192.0,
1552,192.0,
1553,128.0,down
1554,9.0,
1555,9.0,
1556,187.0,up
1557,190.0,
1558,161.0,
1559,9.0,down
1560,9.0,
1561,9.0,
1562,7.0,
1563,7.0,
1564,195.0,up
1565,192.0,
1566,192.0,
1567,192.0,
1568,192.0,
1569,75.0,down
1570,9.0,
1571,111.0,up
1572,192.0,
1573,192.0,
1574,118.0,down
1575,9.0,
1576,9.0,
1577,188.0,up
1578,190.0,
1579,151.0,
1580,9.0,down
1581,9.0,
1582,9.0,
1583,9.0,
1584,51.0,
1585,195.0,up
1586,192.0,
1587,139.0,down
1588,7.0,
1589,7.0,
1590,9.0,
1591,10.0,
1592,101.0,up
1593,190.0,
1594,190.0,
1595,137.0,down
1596,7.0,
1597,9.0,
1598,188.0,up
1599,190.0,
1600,190.0,
1601,190.0,
1602,190.0,
1603,115.0,down
1604,9.0,
1605,9.0,
1606,195.0,up
1607,190.0,
1608,140.0,
1609,9.0,down
1610,9.0,
1611,178.0,up
1612,192.0,
1613,183.0,
1614,5.0,down
1615,9.0,
1616,9.0,
1617,7.0,
1618,7.0,
1619,9.0,
1620,10.0,
1621,113.0,up
1622,195.0,
1623,195.0,
1624,116.0,down
1625,9.0,
1626,9.0,
1627,197.0,up
1628,192.0,
1629,142.0,
1630,9.0,down
1631,9.0,
1632,185.0,up
1633,190.0,
1634,157.0,
1635,9.0,down
1636,9.0,
1637,9.0,
1638,9.0,
1639,36.0,
1640,199.0,up
1641,195.0,
1642,151.0,
1643,7.0,down
1644,7.0,
1645,7.0,
1646,7.0,
1647,65.0,up
1648,195.0,
1649,193.0,
1650,139.0,down
1651,9.0,
1652,9.0,
1653,176.0,up
1654,192.0,
1655,192.0,
1656,192.0,
1657,192.0,
1658,133.0,down
1659,9.0,
1660,9.0,
1661,181.0,up
1662,190.0,
1663,169.0,
1664,9.0,down
1665,9.0,
1666,164.0,up
1667,192.0,
1668,192.0,
1669,17.0,down
1670,9.0,
1671,9.0,
1672,7.0,
1673,7.0,
1674,9.0,
1675,9.0,
1676,133.0,up
1677,188.0,
1678,190.0,
1679,96.0,down
1680,9.0,
1681,101.0,up
1682,190.0,
1683,188.0,
1684,120.0,down
1685,9.0,
1686,9.0,
1687,190.0,up
1688,188.0,
1689,152.0,
1690,9.0,down
1691,9.0,
1692,9.0,
1693,9.0,
1694,77.0,up
1695,193.0,
1696,190.0,
1697,190.0,
1698,147.0,
1699,7.0,down
1700,7.0,
1701,7.0,
1702,7.0,
1703,151.0,up
1704,192.0,
1705,192.0,
1706,190.0,
1707,190.0,
1708,163.0,
1709,9.0,down
1710,9.0,
1711,159.0,up
1712,192.0,
1713,187.0,
1714,175.0,
1715,3.0,down
1716,9.0,
1717,156.0,up
1718,190.0,
1719,190.0,
1720,82.0,down
1721,9.0,
1722,125.0,up
1723,190.0,
1724,190.0,
1725,190.0,
1726,190.0,
1727,188.0,
1728,10.0,down
1729,7.0,
1730,7.0,
1731,7.0,
1732,7.0,
1733,7.0,
1734,7.0,
1735,7.0,
1736,7.0,
1737,7.0,
1738,7.0,
1739,7.0,
1740,7.0,
1741,7.0,
1742,7.0,
1743,7.0,
1744,7.0,
1745,7.0,
1746,7.0,
1747,7.0,
1748,7.0,
1749,7.0,
1750,7.0,
1751,7.0,
1752,7.0,
1753,7.0,
1754,7.0,
1755,7.0,
1756,7.0,
1757,7.0,
1758,7.0,
1759,7.0,
1760,7.0,
1761,7.0,
1762,7.0,
1763,7.0,
1764,7.0,
1765,7.0,
1766,7.0,
1767,7.0,
1768,7.0,
1769,7.0,
1770,5.0,
1771,7.0,
1772,7.0,
1773,7.0,
1774,5.0,
1775,7.0,
1776,7.0,
1777,7.0,
1778,7.0,
1779,7.0,
1780,7.0,
1781,7.0,
1782,7.0,
